,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
538,Le Soufflé,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75001
539,Autour du Saumon - Miron,"Déjeuner, Dîner","Plats à emporter, Réservations, Places assises, Sert de l'alcool, American Express acceptée, Mastercard acceptée, Visa acceptée, Accepte les cartes bancaires, Service de table, Accès personnes handicapées",75004
540,Restaurant Georgette,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75006
541,Chez Vincent,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Service de table",56
542,Les Embruns,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Ouvert tard",75012
543,Comptoir de La Gastronomie,"Française, Européenne",Plats sans gluten,75001
544,Maoz Vegetarian,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75005
545,Moustache,"Française, Européenne","Plats sans gluten, Végétariens bienvenus",75006
546,Oi Sushi,"Japonaise, Sushi, Asiatique","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
547,The Hardware Societe,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Brunch, Boissons",75018
548,Tifinagh Restaurant,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75018
549,Sanukiya,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75001
550,Issa Paris,"Japonaise, Asiatique, Saine, Fusion japonaise","Déjeuner, Dîner, Brunch",75005
551,6 New York,Française,"Végétariens bienvenus, Plats sans gluten",75016
552,Pizza Rossi,"Italienne, Pizza, Napolitaine, Campanie, Italie du Sud","Italienne, Pizza, Napolitaine, Campanie, Italie du Sud",75002
553,Crepolog,"Française, Café","Végétariens bienvenus, Plats sans gluten, Choix végétaliens",75004
554,Les Retrouvailles,"Bar, Diner, Française, Moderne, Saine, Brasserie gastronomique",Végétariens bienvenus,75009
555,Thaï Nam,"Asiatique, Thaï, Vietnamienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75003
556,Pouzenc,"Déjeuner, Dîner","Réservations, Terrasse, Sert de l'alcool, Bar complet, Bières & Vins, Mastercard acceptée, Visa acceptée, Wi-Fi gratuit, Places assises, Accès personnes handicapées, Accepte les cartes bancaires, Service de table",75012
557,Ristorantino Shardana,Végétariens bienvenus,"Déjeuner, Dîner",75015
558,Anco,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",08
559,Alléno Paris,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75008
560,L'Ebauchoir,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75012
561,Albert,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75009
562,La Scarpetta,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75008
563,Café Michel,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75015
564,Les Artistes Gourmands,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75011
565,Le Chalet du 8ème,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75008
566,Phillipe Excoffier,"Française, Européenne",Végétariens bienvenus,75007
567,Pramil,"Française, Européenne",Plats sans gluten,75003
568,La Fine Mousse,"Française, Brasserie gastronomique, Bar à bières","Déjeuner, Dîner, Ouvert tard, Boissons",75011
569,Maguey,Végétariens bienvenus,"Déjeuner, Dîner, Brunch",75012
570,Bissac,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75002
571,Kagayaki,"Déjeuner, Dîner, Ouvert tard","Plats à emporter, Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",79
572,Pirouette,"Déjeuner, Dîner, Ouvert tard","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table, Bières & Vins, Chèques-cadeaux disponibles",75001
573,Au fil des saisons,"Diner, Française, Européenne","Déjeuner, Dîner, Ouvert tard",75003
574,Garnett,Végétariens bienvenus,"Dîner, Déjeuner",75017
575,La Cantine de Quentin,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",52
576,Restaurant Le Meurice Alain Ducasse,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",Dîner,75001
577,Frenchie,Française,"Végétariens bienvenus, Plats sans gluten",75002
578,Caffe Stern,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Brunch, Déjeuner, Dîner, Boissons",75002
579,Creperie Paris Breizh Daumesnil,"Française, Européenne",Végétariens bienvenus,77
580,Pizzawawa,"Italienne, Pizza, Européenne","Végétariens bienvenus, Choix végétaliens",75001
581,La Gazette,"Française, Internationale, Fusion","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
582,MERSEA Grands Boulevards,"Française, Fruits de mer & Poisson, Cuisine de rue (street food), Américaine, Internationale",Végétariens bienvenus,75009
583,Le Ruisseau,Végétariens bienvenus,"Déjeuner, Dîner, Brunch, Ouvert tard",75018
584,Le Violon d'Ingres,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75007
585,La Vache Acrobate,"Française, Européenne",Végétariens bienvenus,75011
586,La Petite Bouclerie,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75005
587,Guibine,"Barbecue/Grillades, Asiatique, Coréenne, Saine","Végétariens bienvenus, Choix végétaliens",75002
588,Helen,"Déjeuner, Dîner","Réservations, Places assises, Service de voiturier, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table, Salle privée",75008
589,Massawa,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75010
590,20 Eiffel,"Française, Européenne",Végétariens bienvenus,75007
591,Chez Mademoiselle,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75004
592,La Promenade,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75012
593,L'Anvers du Décor,"Française, Européenne, Grillades","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
594,Café Varenne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Boissons, Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75007
595,Le Coupe Gorge,"Brasserie gastronomique, Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
596,Comme A Lisbonne,Végétariens bienvenus,Déjeuner,75004
597,Le chant des oliviers,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75018
598,Le Pantruche,"Française, Européenne",Végétariens bienvenus,75009
599,Prik Thai Maine,"Brasserie gastronomique, Asiatique, Thaï","Végétariens bienvenus, Choix végétaliens",75014
600,Le Tourbillon,"Française, Européenne",Végétariens bienvenus,75017
601,Circonstances,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",74
602,Máncora Cebicheria,"Péruvienne, Saine","Végétariens bienvenus, Plats sans gluten",75003
603,Birdy's,Végétariens bienvenus,"Déjeuner, Dîner, Boissons",75020
604,L'Atelier du Marche,"Brasserie gastronomique, Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75017
605,Le Coryllis,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75018
606,Pasco,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",74
607,Auberge Pyrénées Cévennes,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",06
608,L'Aller Retour,"Française, Steakhouse, Européenne","Déjeuner, Dîner, Ouvert tard",75003
609,Bistrot des Vosges,"Française, Grillades",Végétariens bienvenus,75004
610,Le Hangar,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75003
611,Le Cornichon,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75014
612,Ao Izakaya,"Japonaise, Asiatique, Fusion, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
613,Elmer,"Française, Européenne",Végétariens bienvenus,75003
614,Babalou,"Italienne, Pizza, Européenne","Végétariens bienvenus, Choix végétaliens",75018
615,Les Artizans,"Française, Européenne",Végétariens bienvenus,75001
616,The Place to...,"Française, Bar, Fusion","Végétariens bienvenus, Choix végétaliens",00
617,Huitrerie Regis,"Française, Fruits de mer & Poisson, Saine",Plats sans gluten,75006
618,Firmin le Barbier,"Française, Saine, Thaï","Végétariens bienvenus, Plats sans gluten",00
619,Sorza,"Italienne, Française, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",51
620,Le Christine,"Française, Saine","Végétariens bienvenus, Plats sans gluten",75006
621,L'Astrance,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75016
622,Simone - Le Resto,"Française, Européenne, Bar à vins","Déjeuner, Dîner",75013
623,La Dame de Pic,"Française, Européenne, Saine",Végétariens bienvenus,75001
624,A l'Affiche,"Française, Européenne",Végétariens bienvenus,75008
625,Le Petit Medicis,Française,Végétariens bienvenus,75006
626,Le 14 Juillet,"Française, Européenne",Végétariens bienvenus,75014
627,Bar à Iode - Saint Germain,"Française, Fruits de mer & Poisson",Plats sans gluten,75005
628,Le Colvert Bistrot,"Française, Saine","Déjeuner, Dîner",54
629,L'Express de Lyon,"Française, Bar, Européenne","Déjeuner, Dîner, Boissons",75012
630,Le Bistrot Des Campagnes,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75014
631,BAĀGAĀ Trocadéro,"Française, Américaine",Végétariens bienvenus,54
632,Le Caminito Cabaret,"Française, Internationale",Végétariens bienvenus,75013
633,Cedars,"Libanaise, Méditerranéenne, Moyen-Orient, Barbecue/Grillades, Traiteur","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",01
634,LE MAZENAY,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75003
635,Korus,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Mastercard acceptée, Visa acceptée, Accepte les cartes bancaires, Service de table, Chaises hautes disponibles, Bar complet",73
636,Salento Montmartre,"Italienne, Européenne, Saine, Romana, Latium, Italie du Centre","Déjeuner, Dîner, Boissons",75009
637,L'ilot,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",75003
638,Mondol Kiri,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",59
639,Au Bourguignon du Marais,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",52
640,Les Arlots,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75010
641,U Mulinu,"Diner, Française, Méditerranéenne, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",00m
642,Il Piccolo Rifugio,"Italienne, Méditerranéenne, Européenne",Végétariens bienvenus,75018
643,Eggs & Co,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Brunch",75006
644,Axuria,Végétariens bienvenus,"Dîner, Déjeuner, Ouvert tard",54
645,Comme Chai Toi - Notre Dame,Française,Végétariens bienvenus,75005
646,L'Atelier Roulière,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75006
647,Shirvan Cafe Metisse,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75008
648,LE RELAIS GASCON,Française,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
649,Mouffetard Saigon's,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75005
650,Notre Table,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Boissons",04
651,Chez Monsieur,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75008
652,La Vache Dans Les Vignes,Déjeuner,"Plats à emporter, Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75010
653,Abuela,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75009
654,7ème vin,"Française, Européenne, Saine","Végétariens bienvenus, Plats sans gluten",75007
655,Ty Galettes,"Française, Européenne",Végétariens bienvenus,75015
656,Monbleu,Végétariens bienvenus,Végétariens bienvenus,75009
657,Café Francoeur,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75018
658,Figuig,"Marocaine, Saine, Moyen-Orient","Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75017
659,Anicia,"Française, Européenne, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
660,Bistrot 31,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75016
661,L'Acanthe,"Choix végétaliens, Végétariens bienvenus","Déjeuner, Dîner",75004
662,Gloria Restaurant,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",08
663,Thai Papaya,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",51
664,Shang Palace,"Chinoise, Asiatique","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
665,Les Grillades de Buenos Aires,"Steakhouse, Barbecue/Grillades, Argentine","Déjeuner, Dîner, Ouvert tard",54
666,Yam'Tcha,Asiatique,Végétariens bienvenus,75001
667,La Gourmandise,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75007
668,Dessance,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",74
669,Alfio,"Italienne, Pizza, Européenne","Végétariens bienvenus, Choix végétaliens",75007
670,Au Bon Coin,"Française, Saine",Végétariens bienvenus,75005
671,So Italia by Casa ROSATI,Italienne,"Végétariens bienvenus, Choix végétaliens",75011
672,Blueberry,"Japonaise, Sushi, Asiatique, Internationale","Japonaise, Sushi, Asiatique, Internationale",75006
673,Homies,"Fusion, Sud-américaine, Internationale",Végétariens bienvenus,75004
674,Le Béguin des Mets,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75006
675,Tentazioni,"Italienne, Méditerranéenne, Européenne, Sicilienne, Italie du Sud","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
676,Les Fous de l'île,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
677,Ayako teppanyaki,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75014
678,Le Coup de Torchon,Végétariens bienvenus,"Déjeuner, Dîner",75005
679,Pizza Di Gio,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75006
680,Le Butcher,"Américaine, Française","Halal, Végétariens bienvenus, Choix végétaliens",75008
681,La Cave Gourmande,"Déjeuner, Dîner, Ouvert tard","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Wi-Fi gratuit, Accepte les cartes bancaires, Service de table",75018
682,Mariba,"Française, Asiatique, Fusion, Vietnamienne, Saine","Choix végétaliens, Plats sans gluten, Végétariens bienvenus",03
683,L'Echoppe de Paris,"Française, Américaine, Européenne",Végétariens bienvenus,75011
684,Kokohana,"Japonaise, Asiatique","Déjeuner, Dîner",75008
685,Do et Riz,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75012
686,Bourgogne Sud,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75009
687,Via del Gusto,"Pizza, Italienne, Méditerranéenne, Européenne, Toscane, Romana, Latium, Italie du Centre","Végétariens bienvenus, Choix végétaliens",75015
688,Les Petits Plats,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75014
689,L'Entracte Bistrot,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75020
690,L'Ascension,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75009
691,Garance,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75007
692,Café Jean,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch",75019
693,La Bauhinia,"Française, Européenne, Thaï","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
694,Léandrés Happy Food & Coffee,Café,Végétariens bienvenus,78
695,Ebis,"Japonaise, Asiatique, Fusion",Végétariens bienvenus,75001
696,Les Vinaigriers,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75010
697,Melt Oberkampf,"Américaine, Steakhouse, Barbecue/Grillades","Déjeuner, Dîner, Ouvert tard, Boissons",74
698,Alizee Creperie Gourmet,"Française, Européenne","Choix végétaliens, Plats sans gluten, Végétariens bienvenus",75005
699,Dans le Noir ?,"Française, Saine","Française, Saine",51
700,American Corner,Américaine,Végétariens bienvenus,75005
701,Loca,"Française, Steakhouse, Barbecue/Grillades, Argentine, Sud-américaine","Déjeuner, Dîner",75018
702,Il Sorrentino,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75007
703,Chez Mademoiselle,"Russe, Europe de l'Est",Végétariens bienvenus,75015
704,Le Relais Louis XIII,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
705,Le Verre Galant,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",56
706,Le Bistrot d'Henri,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75006
707,Tamarind,"Asiatique, Thaï","Végétariens bienvenus, Choix végétaliens",75004
708,Le Petit Chatelet,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75005
709,La Fontaine de Mars,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75007
710,Il Carpaccio,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
711,Origines,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table, Stationnement dans la rue, Restaurants non-fumeurs",75008
712,Les Enfants Perdus,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Ouvert tard",75010
713,Mamma Primi,Végétariens bienvenus,"Déjeuner, Dîner",71
714,142 Creperie Contemporaine,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",59
715,Chez Mamane,"Algérien, Bar à bières","Végétariens bienvenus, Choix végétaliens, Halal",75013
716,Restaurant Florina,"Française, Européenne, Internationale","Déjeuner, Dîner",75013
717,Takara,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75001
718,Pamela Popo,Végétariens bienvenus,"Dîner, Ouvert tard",75004
719,Juste,"Française, Fruits de mer & Poisson, Européenne",Plats sans gluten,75009
720,Le P'tit Canon,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, American Express acceptée, Mastercard acceptée, Visa acceptée, Wi-Fi gratuit, Accepte les cartes bancaires, Service de table",75017
721,A la Chataigne,"Française, Méditerranéenne, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75008
722,Brasserie Bellanger,"Française, Bar, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75010
723,Cocorico,"Française, Internationale, Européenne, Bar","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
724,Singh,Indienne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
725,Croccante,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
726,Braisenville,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75009
727,Hugo,Française,"Végétariens bienvenus, Choix végétaliens",75009
728,East Mamma,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Boissons",75011
729,46 & 3rd,"Internationale, Américaine, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75003
730,Au rendez-vous de la Marine,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75019
731,le Compas,"Française, Bar, Bars-restaurants","Végétariens bienvenus, Choix végétaliens",75002
732,La Petite Tour,"Française, Européenne",Végétariens bienvenus,75116
733,Carotte Bleue,Végétariens bienvenus,Dîner,02
734,CORETTA,"Française, Européenne",Végétariens bienvenus,51
735,L'Atelier du Parc,"Française, Européenne","Déjeuner, Dîner",75015
736,L'Ardoise Gourmande,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75010
737,Le Petit Commines,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard, Boissons",75003
738,Mensae,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75019
739,Uma Nota,"Japonaise, Brésilienne, Cuisine de rue (street food), Asiatique","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
740,Roca,"Française, Européenne, Moderne, Brasserie gastronomique","Déjeuner, Dîner",75017
741,BLACK PINKY,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75014
742,Sushi-B Paris,"Sushi, Japonaise, Asiatique",Végétariens bienvenus,75002
743,La Ferrandaise,"Française, Européenne, Brasserie gastronomique","Déjeuner, Dîner",75006
744,Cinq-Mars,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",51
745,La Fourchette du Printemps,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75017
746,Pierre sang In Oberkampf,"Coréenne, Française, Fusion, Saine","Végétariens bienvenus, Plats sans gluten",55
747,Mamma Mia,"Italienne, Pizza","Végétariens bienvenus, Choix végétaliens",76
748,La Catrina,"Mexicaine, Latino, Cuisine de rue (street food), Amérique centrale","Végétariens bienvenus, Choix végétaliens",75013
749,L'Avant Comptoir,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75006
750,Café Sud,"Française, Européenne","Choix végétaliens, Végétariens bienvenus",75008
751,PI HOUR Saint Georges,"Italienne, Pizza, Européenne","Choix végétaliens, Végétariens bienvenus",75009
752,La Cantine Du Troquet Daguerre,"Déjeuner, Dîner","Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75014
753,Le P'tit Barcelone,"Méditerranéenne, Européenne, Espagnole",Végétariens bienvenus,75009
754,Frame Brasserie,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75015
755,la Massara,"Italienne, Pizza, Européenne, Sicilienne, Italie du Sud","Végétariens bienvenus, Choix végétaliens",70
756,Dulcinea,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75009
757,Tavola Di Gio,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75014
758,Chameleon Restaurant,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",70
759,Le Temps des cerises,"Française, Européenne",Végétariens bienvenus,75004
760,Le Bon Pêcheur,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch, Boissons",75001
761,KOFF,Américaine,Végétariens bienvenus,75018
762,Comptoir Montevideo,"Latino, Grillades, Argentine","Végétariens bienvenus, Choix végétaliens",75001
763,Le New York,Française,"Choix végétaliens, Végétariens bienvenus",75116
764,Le Basilic,"Française, Européenne",Végétariens bienvenus,75018
765,QUEYRELOU,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75011
766,Kodawari Ramen (Yokochō),"Japonaise, Asiatique, Saine, Soupes",Végétariens bienvenus,75006
767,L'Epi Dupin,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75006
768,Le Janissaire,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75012
769,Le Papillon,"Française, Européenne, Brasserie gastronomique","Végétariens bienvenus, Choix végétaliens",75020
770,Bistrot Richelieu,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75001
771,Fish La Boissonnerie,"Française, Européenne, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
772,Le Galopin de LuLu,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75011
773,Baan issan,"Asiatique, Thaï",Végétariens bienvenus,75013
774,A la Biche au bois,Française,"Déjeuner, Dîner, Ouvert tard",75012
775,Shiso Burger,"Américaine, Restauration rapide, Asiatique, Fusion","Végétariens bienvenus, Choix végétaliens",75005
776,Pink Mamma,"Italienne, Méditerranéenne, Européenne, Napolitaine, Campanie, Toscane, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud",,
777,Restaurant Rice & Fish,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75002
778,Au Petit Suisse,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75006
779,Sense Eat,"Italienne, Méditerranéenne, Saine, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
780,huitzilin,"Mexicaine, Latino, Amérique centrale",Végétariens bienvenus,75020
781,Caffè Jadis,"Française, Européenne",Végétariens bienvenus,75009
782,Kodawari Ramen (Tsukiji),"Japonaise, Asiatique, Saine, Soupes","Déjeuner, Dîner, Boissons",75001
783,La Cantine du Troquet Pernety,"Française, Européenne",Végétariens bienvenus,01
784,Robert et Louise,"Déjeuner, Dîner, Boissons","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75003
785,Le 32 By Hervé,"Française, Internationale, Fusion, Brasserie gastronomique",Végétariens bienvenus,75116
786,Cafe d'Angel,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75017
787,Le Comptoir des Petits Champs,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75001
788,Dalia,"Déjeuner, Dîner, Brunch, Ouvert tard, Boissons","Réservations, Terrasse, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table, Chaises hautes disponibles, Accès personnes handicapées, Bières & Vins, Paiements électroniques, Wi-Fi gratuit",75002
789,Khao Thai Sevigne,"Asiatique, Thaï, Internationale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
790,La Palanche D'Âulac,"Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
791,Le Louis Vins,"Française, Européenne",Végétariens bienvenus,75005
792,Ô Chateau,Végétariens bienvenus,"Dîner, Ouvert tard, Boissons",75001
793,Le Buisson Ardent,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75005
794,H.Kitchen,Végétariens bienvenus,"Déjeuner, Dîner",75006
795,Coffee Crepes,"Française, Café","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75001
796,Auberge Bressane,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75007
797,Bonvivant,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75005
798,La Marina Ristorante i Pizzeria,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75010
799,Creperie de Port-Manech,Française,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",52
800,Le Cosy,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch",50
801,Le Templier,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75015
802,Le Radis Beurre,"Française, Européenne","Déjeuner, Dîner",51
803,L'ours blanc,"Française, Européenne",Végétariens bienvenus,75004
